文字,超連結
1. 两数之和,https://leetcode.cn/problems/two-sum/
1512. 好数对的数目,https://leetcode.cn/problems/number-of-good-pairs/
2001. 可互换矩形的组数,https://leetcode.cn/problems/number-of-pairs-of-interchangeable-rectangles/
1128. 等价多米诺骨牌对的数量,https://leetcode.cn/problems/number-of-equivalent-domino-pairs/description/
121. 买卖股票的最佳时机,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/
2342. 数位和相等数对的最大和,https://leetcode.cn/problems/max-sum-of-a-pair-with-equal-sum-of-digits/
2815. 数组中的最大数对和,https://leetcode.cn/problems/max-pair-sum-in-an-array/
219. 存在重复元素 II,https://leetcode.cn/problems/contains-duplicate-ii/
1679. K 和数对的最大数目,https://leetcode.cn/problems/max-number-of-k-sum-pairs/
2260. 必须拿起的最小连续卡牌数,https://leetcode.cn/problems/minimum-consecutive-cards-to-pick-up/
624. 数组列表中的最大距离,https://leetcode.cn/problems/maximum-distance-in-arrays/
1010. 总持续时间可被 60 整除的歌曲,https://leetcode.cn/problems/pairs-of-songs-with-total-durations-divisible-by-60/
3185. 构成整天的下标对数目 II,https://leetcode.cn/problems/count-pairs-that-form-a-complete-day-ii/
2506. 统计相似字符串对的数目,https://leetcode.cn/problems/count-pairs-of-similar-strings/
2748. 美丽下标对的数目,https://leetcode.cn/problems/number-of-beautiful-pairs/
2874. 有序三元组中的最大值 II,https://leetcode.cn/problems/maximum-value-of-an-ordered-triplet-ii/
2364. 统计坏数对的数目,https://leetcode.cn/problems/count-number-of-bad-pairs/
3371. 识别数组中的最大异常值,https://leetcode.cn/problems/identify-the-largest-outlier-in-an-array/
1014. 最佳观光组合,https://leetcode.cn/problems/best-sightseeing-pair/
1814. 统计一个数组中好对子的数目,https://leetcode.cn/problems/count-nice-pairs-in-an-array/
2905. 找出满足差值条件的下标 II,https://leetcode.cn/problems/find-indices-with-index-and-value-difference-ii/
1031. 两个非重叠子数组的最大和,https://leetcode.cn/problems/maximum-sum-of-two-non-overlapping-subarrays/
2555. 两个线段获得的最多奖品,https://leetcode.cn/problems/maximize-win-from-two-segments/
