文字,超連結
547. 省份数量,https://leetcode.cn/problems/number-of-provinces/
1971. 寻找图中是否存在路径,https://leetcode.cn/problems/find-if-path-exists-in-graph/
797. 所有可能的路径,https://leetcode.cn/problems/all-paths-from-source-to-target/
841. 钥匙和房间,https://leetcode.cn/problems/keys-and-rooms/
2316. 统计无向图中无法互相到达点对数,https://leetcode.cn/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/
1319. 连通网络的操作次数,https://leetcode.cn/problems/number-of-operations-to-make-network-connected/
2492. 两个城市间路径的最小分数,https://leetcode.cn/problems/minimum-score-of-a-path-between-two-cities/
3310. 移除可疑的方法,https://leetcode.cn/problems/remove-methods-from-project/
2685. 统计完全连通分量的数量,https://leetcode.cn/problems/count-the-number-of-complete-components/
2192. 有向无环图中一个节点的所有祖先,https://leetcode.cn/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/
3387. 两天自由外汇交易后的最大货币数,https://leetcode.cn/problems/maximize-amount-after-two-days-of-conversions/
924. 尽量减少恶意软件的传播,https://leetcode.cn/problems/minimize-malware-spread/
2101. 引爆最多的炸弹,https://leetcode.cn/problems/detonate-the-maximum-bombs/
721. 账户合并,https://leetcode.cn/problems/accounts-merge/
207. 课程表,https://leetcode.cn/problems/course-schedule/
802. 找到最终的安全状态,https://leetcode.cn/problems/find-eventual-safe-states/
928. 尽量减少恶意软件的传播 II,https://leetcode.cn/problems/minimize-malware-spread-ii/
2092. 找出知晓秘密的所有专家,https://leetcode.cn/problems/find-all-people-with-secret/
3108. 带权图里旅途的最小代价,https://leetcode.cn/problems/minimum-cost-walk-in-weighted-graph/
261. 以图判树,https://leetcode.cn/problems/graph-valid-tree/
323. 无向图中连通分量的数目,https://leetcode.cn/problems/number-of-connected-components-in-an-undirected-graph/
3243. 新增道路查询后的最短距离 I,https://leetcode.cn/problems/shortest-distance-after-road-addition-queries-i/
1311. 获取你好友已观看的视频,https://leetcode.cn/problems/get-watched-videos-by-your-friends/
1129. 颜色交替的最短路径,https://leetcode.cn/problems/shortest-path-with-alternating-colors/
1298. 你能从盒子里获得的最大糖果数,https://leetcode.cn/problems/maximum-candies-you-can-get-from-boxes/
2039. 网络空闲的时刻,https://leetcode.cn/problems/the-time-when-the-network-becomes-idle/
2608. 图中的最短环,https://leetcode.cn/problems/shortest-cycle-in-a-graph/
815. 公交路线,https://leetcode.cn/problems/bus-routes/
210. 课程表 II,https://leetcode.cn/problems/course-schedule-ii/
1462. 课程表 IV,https://leetcode.cn/problems/course-schedule-iv/
2115. 从给定原材料中找到所有可以做出的菜,https://leetcode.cn/problems/find-all-possible-recipes-from-given-supplies/
851. 喧闹和富有,https://leetcode.cn/problems/loud-and-rich/
310. 最小高度树,https://leetcode.cn/problems/minimum-height-trees/
2392. 给定条件下构造矩阵,https://leetcode.cn/problems/build-a-matrix-with-conditions/
802. 找到最终的安全状态,https://leetcode.cn/problems/find-eventual-safe-states/
1591. 奇怪的打印机 II,https://leetcode.cn/problems/strange-printer-ii/
1203. 项目管理,https://leetcode.cn/problems/sort-items-by-groups-respecting-dependencies/
2603. 收集树中金币,https://leetcode.cn/problems/collect-coins-in-a-tree/
LCR 114. 火星词典,https://leetcode.cn/problems/Jf1JuT/
269. 火星词典,https://leetcode.cn/problems/alien-dictionary/
444. 序列重建,https://leetcode.cn/problems/sequence-reconstruction/
1059. 从始点到终点的所有路径,https://leetcode.cn/problems/all-paths-from-source-lead-to-destination/
1136. 并行课程,https://leetcode.cn/problems/parallel-courses/
2050. 并行课程 III,https://leetcode.cn/problems/parallel-courses-iii/
1857. 有向图中最大颜色值,https://leetcode.cn/problems/largest-color-value-in-a-directed-graph/
2359. 找到离给定两个节点最近的节点,https://leetcode.cn/problems/find-closest-node-to-given-two-nodes/
2360. 图中的最长环,https://leetcode.cn/problems/longest-cycle-in-a-graph/
684. 冗余连接,https://leetcode.cn/problems/redundant-connection/
685. 冗余连接 II,https://leetcode.cn/problems/redundant-connection-ii/
2876. 有向图访问计数,https://leetcode.cn/problems/count-visited-nodes-in-a-directed-graph/
2127. 参加会议的最多员工数,https://leetcode.cn/problems/maximum-employees-to-be-invited-to-a-meeting/
2836. 在传球游戏中最大化函数值,https://leetcode.cn/problems/maximize-value-of-function-in-a-ball-passing-game
LCP 21. 追逐游戏,https://leetcode.cn/problems/Za25hA/
2204. 无向图中到环的距离,https://leetcode.cn/problems/distance-to-a-cycle-in-undirected-graph/
743. 网络延迟时间,https://leetcode.cn/problems/network-delay-time/
3341. 到达最后一个房间的最少时间 I,https://leetcode.cn/problems/find-minimum-time-to-reach-last-room-i/
3112. 访问消失节点的最少时间,https://leetcode.cn/problems/minimum-time-to-visit-disappearing-nodes/
2642. 设计可以求最短路径的图类,https://leetcode.cn/problems/design-graph-with-shortest-path-calculator/
1514. 概率最大的路径,https://leetcode.cn/problems/path-with-maximum-probability/
3342. 到达最后一个房间的最少时间 II,https://leetcode.cn/problems/find-minimum-time-to-reach-last-room-ii/
