文字,超連結
3074. 重新分装苹果,https://leetcode.cn/problems/apple-redistribution-into-boxes/
2279. 装满石头的背包的最大数量,https://leetcode.cn/problems/maximum-bags-with-full-capacity-of-rocks/
1833. 雪糕的最大数量,https://leetcode.cn/problems/maximum-ice-cream-bars/
1005. K 次取反后最大化的数组和,https://leetcode.cn/problems/maximize-sum-of-array-after-k-negations/
1481. 不同整数的最少数目,https://leetcode.cn/problems/least-number-of-unique-integers-after-k-removals/
1403. 非递增顺序的最小子序列,https://leetcode.cn/problems/minimum-subsequence-in-non-increasing-order/
3010. 将数组分成最小总代价的子数组 I,https://leetcode.cn/problems/divide-an-array-into-subarrays-with-minimum-cost-i/
1338. 数组大小减半,https://leetcode.cn/problems/reduce-array-size-to-the-half/
1710. 卡车上的最大单元数,https://leetcode.cn/problems/maximum-units-on-a-truck/
3075. 幸福值最大化的选择方案,https://leetcode.cn/problems/maximize-happiness-of-selected-children/
2554. 从一个范围内选择最多整数 I,https://leetcode.cn/problems/maximum-number-of-integers-to-choose-from-a-range-i/
2126. 摧毁小行星,https://leetcode.cn/problems/destroying-asteroids/
2587. 重排数组以得到最大前缀分数,https://leetcode.cn/problems/rearrange-array-to-maximize-prefix-score/
976. 三角形的最大周长,https://leetcode.cn/problems/largest-perimeter-triangle/
1561. 你可以获得的最大硬币数目,https://leetcode.cn/problems/maximum-number-of-coins-you-can-get/
3462. 提取至多 K 个元素的最大总和,https://leetcode.cn/problems/maximum-sum-with-at-most-k-elements/
3301. 高度互不相同的最大塔高和,https://leetcode.cn/problems/maximize-the-total-height-of-unique-towers/
945. 使数组唯一的最小增量,https://leetcode.cn/problems/minimum-increment-to-make-array-unique/
1846. 减小和重新排列数组后的最大元素,https://leetcode.cn/problems/maximum-element-after-decreasing-and-rearranging/
1647. 字符频次唯一的最小删除次数,https://leetcode.cn/problems/minimum-deletions-to-make-character-frequencies-unique/
2971. 找到最大周长的多边形,https://leetcode.cn/problems/find-polygon-with-the-largest-perimeter/
2178. 拆分成最多数目的正偶数之和,https://leetcode.cn/problems/maximum-split-of-positive-even-integers/
2567. 修改两个元素的最小分数,https://leetcode.cn/problems/minimum-score-by-changing-two-elements/
1509. 三次操作后最大值与最小值的最小差,https://leetcode.cn/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/
3397. 执行操作后不同元素的最大数量,https://leetcode.cn/problems/maximum-number-of-distinct-elements-after-operations/
3457. 吃披萨,https://leetcode.cn/problems/eat-pizzas/
LCP 40. 心算挑战,https://leetcode.cn/problems/uOAnQW/
1262. 可被三整除的最大和,https://leetcode.cn/problems/greatest-sum-divisible-by-three/
948. 令牌放置,https://leetcode.cn/problems/bag-of-tokens/
1775. 通过最少操作次数使数组的和相等,https://leetcode.cn/problems/equal-sum-arrays-with-minimum-number-of-operations/
3440. 重新安排会议得到最多空余时间 II,https://leetcode.cn/problems/reschedule-meetings-for-maximum-free-time-ii/
2333. 最小差值平方和,https://leetcode.cn/problems/minimum-sum-of-squared-difference/
2141. 同时运行 N 台电脑的最长时间,https://leetcode.cn/problems/maximum-running-time-of-n-computers/
1196. 最多可以买到的苹果数量,https://leetcode.cn/problems/how-many-apples-can-you-put-into-the-basket/
2214. 通关游戏所需的最低生命值,https://leetcode.cn/problems/minimum-health-to-beat-game/
3476. 最大化任务分配的利润,https://leetcode.cn/problems/maximize-profit-from-task-assignment/
2098. 长度为 K 的最大偶数和子序列,https://leetcode.cn/problems/subsequence-of-size-k-with-the-largest-even-sum/
2548. 填满背包的最大价格,https://leetcode.cn/problems/maximum-price-to-fill-a-bag/
3119. 最大数量的可修复坑洼,https://leetcode.cn/problems/maximum-number-of-potholes-that-can-be-fixed/
2557. 从一个范围内选择最多整数 II,https://leetcode.cn/problems/maximum-number-of-integers-to-choose-from-a-range-ii/
624. 数组列表中的最大距离,https://leetcode.cn/problems/maximum-distance-in-arrays/
910. 最小差值 II,https://leetcode.cn/problems/smallest-range-ii/
2835. 使子序列的和等于目标的最少操作次数,https://leetcode.cn/problems/minimum-operations-to-form-subsequence-with-target-sum/
3366. 最小数组和,https://leetcode.cn/problems/minimum-array-sum/
2144. 打折购买糖果的最小开销,https://leetcode.cn/problems/minimum-cost-of-buying-candies-with-discount/
561. 数组拆分,https://leetcode.cn/problems/array-partition/
1877. 数组中最大数对和的最小值,https://leetcode.cn/problems/minimize-maximum-pair-sum-in-array/
881. 救生艇,https://leetcode.cn/problems/boats-to-save-people/
2592. 最大化数组的伟大值,https://leetcode.cn/problems/maximize-greatness-of-an-array/
2576. 求出最多标记下标,https://leetcode.cn/problems/find-the-maximum-number-of-marked-indices/
2037. 使每位学生都有座位的最少移动次数,https://leetcode.cn/problems/minimum-number-of-moves-to-seat-everyone/
455. 分发饼干,https://leetcode.cn/problems/assign-cookies/
2410. 运动员和训练师的最大匹配数,https://leetcode.cn/problems/maximum-matching-of-players-with-trainers/
1433. 检查一个字符串是否可以打破另一个字符串,https://leetcode.cn/problems/check-if-a-string-can-break-another-string/
870. 优势洗牌,https://leetcode.cn/problems/advantage-shuffle/
826. 安排工作以达到最大收益,https://leetcode.cn/problems/most-profit-assigning-work/
2449. 使数组相似的最少操作次数,https://leetcode.cn/problems/minimum-number-of-operations-to-make-arrays-similar/
1889. 装包裹的最小浪费空间,https://leetcode.cn/problems/minimum-space-wasted-from-packaging/
2561. 重排水果,https://leetcode.cn/problems/rearranging-fruits/
2071. 你可以安排的最多任务数目,https://leetcode.cn/problems/maximum-number-of-tasks-you-can-assign/
2323. 完成所有工作的最短时间 II,https://leetcode.cn/problems/find-minimum-time-to-finish-all-jobs-ii/
3402. 使每一列严格递增的最少操作次数,https://leetcode.cn/problems/minimum-operations-to-make-columns-strictly-increasing/
3191. 使二进制数组全部等于 1 的最少操作次数 I,https://leetcode.cn/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-i/
1827. 最少操作使数组递增,https://leetcode.cn/problems/minimum-operations-to-make-the-array-increasing/
2027. 转换字符串的最少操作次数,https://leetcode.cn/problems/minimum-moves-to-convert-string/
605. 种花问题,https://leetcode.cn/problems/can-place-flowers/
3111. 覆盖所有点的最少矩形数目,https://leetcode.cn/problems/minimum-rectangles-to-cover-points/
2957. 消除相邻近似相等字符,https://leetcode.cn/problems/remove-adjacent-almost-equal-characters/
3192. 使二进制数组全部等于 1 的最少操作次数 II,https://leetcode.cn/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/
2789. 合并后数组中的最大元素,https://leetcode.cn/problems/largest-element-in-an-array-after-merge-operations/
1529. 最少的后缀翻转次数,https://leetcode.cn/problems/minimum-suffix-flips/
1144. 递减元素使数组呈锯齿状,https://leetcode.cn/problems/decrease-elements-to-make-array-zigzag/
3228. 将 1 移动到末尾的最大操作次数,https://leetcode.cn/problems/maximum-number-of-operations-to-move-ones-to-the-end/
2086. 喂食仓鼠的最小食物桶数,https://leetcode.cn/problems/minimum-number-of-food-buckets-to-feed-the-hamsters/
2571. 将整数减少到零需要的最少操作数,https://leetcode.cn/problems/minimum-operations-to-reduce-an-integer-to-0/
3326. 使数组非递减的最少除法操作次数,https://leetcode.cn/problems/minimum-division-operations-to-make-array-non-decreasing/
1536. 排布二进制网格的最少交换次数,https://leetcode.cn/problems/minimum-swaps-to-arrange-a-binary-grid/
2673. 使二叉树所有路径值相等的最小代价,https://leetcode.cn/problems/make-costs-of-paths-equal-in-a-binary-tree/
861. 翻转矩阵后的得分,https://leetcode.cn/problems/score-after-flipping-matrix/
955. 删列造序 II,https://leetcode.cn/problems/delete-columns-to-make-sorted-ii/
2366. 将数组排序的最少替换次数,https://leetcode.cn/problems/minimum-replacements-to-sort-the-array/
2528. 最大化城市的最小电量,https://leetcode.cn/problems/maximize-the-minimum-powered-city/
3449. 最大化游戏分数的最小值,https://leetcode.cn/problems/maximize-the-minimum-game-score/
2422. 使用合并操作将数组转换为回文序列,https://leetcode.cn/problems/merge-operations-to-turn-array-into-a-palindrome/
1221. 分割平衡字符串,https://leetcode.cn/problems/split-a-string-in-balanced-strings/
2405. 子字符串的最优划分,https://leetcode.cn/problems/optimal-partition-of-string/
2294. 划分数组使最大差为 K,https://leetcode.cn/problems/partition-array-such-that-maximum-difference-is-k/
2358. 分组的最大数量,https://leetcode.cn/problems/maximum-number-of-groups-entering-a-competition/
2522. 将字符串分割成值不超过 K 的子字符串,https://leetcode.cn/problems/partition-string-into-substrings-with-values-at-most-k/
1546. 和为目标值且不重叠的非空子数组的最大数目,https://leetcode.cn/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/
2436. 使子数组最大公约数大于一的最小分割数,https://leetcode.cn/problems/minimum-split-into-subarrays-with-gcd-greater-than-one/
2892. 将相邻元素相乘后得到最小化数组,https://leetcode.cn/problems/minimizing-array-after-replacing-pairs-with-their-product/
2171. 拿出最少数目的魔法豆,https://leetcode.cn/problems/removing-minimum-number-of-magic-beans/
3085. 成为 K 特殊字符串需要删除的最少字符数,https://leetcode.cn/problems/minimum-deletions-to-make-string-k-special/
1727. 重新排列后的最大子矩阵,https://leetcode.cn/problems/largest-submatrix-with-rearrangements/
2749. 得到整数零需要执行的最少操作数,https://leetcode.cn/problems/minimum-operations-to-make-the-integer-zero/
