文字,超連結
739. 每日温度,https://leetcode.cn/problems/daily-temperatures/
1475. 商品折扣后的最终价格,https://leetcode.cn/problems/final-prices-with-a-special-discount-in-a-shop/
496. 下一个更大元素 I,https://leetcode.cn/problems/next-greater-element-i/
503. 下一个更大元素 II,https://leetcode.cn/problems/next-greater-element-ii/
901. 股票价格跨度,https://leetcode.cn/problems/online-stock-span/
853. 车队,https://leetcode.cn/problems/car-fleet/
1019. 链表中的下一个更大节点,https://leetcode.cn/problems/next-greater-node-in-linked-list/
456. 132 模式,https://leetcode.cn/problems/132-pattern/
3113. 边界元素是最大值的子数组数目,https://leetcode.cn/problems/find-the-number-of-subarrays-where-boundary-elements-are-maximum/
2866. 美丽塔 II,https://leetcode.cn/problems/beautiful-towers-ii/
1944. 队列中可以看到的人数,https://leetcode.cn/problems/number-of-visible-people-in-a-queue/
2454. 下一个更大元素 IV,https://leetcode.cn/problems/next-greater-element-iv/
1130. 叶值的最小代价生成树,https://leetcode.cn/problems/minimum-cost-tree-from-leaf-values/
2289. 使数组按非递减顺序排列,https://leetcode.cn/problems/steps-to-make-array-non-decreasing/
1776. 车队 II,https://leetcode.cn/problems/car-fleet-ii/
3420. 统计 K 次操作以内得到非递减子数组的数目,https://leetcode.cn/problems/count-non-decreasing-subarrays-after-k-operations/
3221. 最大数组跳跃得分 II,https://leetcode.cn/problems/maximum-array-hopping-score-ii/
1966. 未排序数组中的可被二分搜索的数,https://leetcode.cn/problems/binary-searchable-numbers-in-an-unsorted-array/
2832. 每个元素为最大值的最大范围,https://leetcode.cn/problems/maximal-range-that-each-element-is-maximum-in-it/
2282. 在一个网格中可以看到的人数,https://leetcode.cn/problems/number-of-people-that-can-be-seen-in-a-grid/
962. 最大宽度坡,https://leetcode.cn/problems/maximum-width-ramp/
1124. 表现良好的最长时间段,https://leetcode.cn/problems/longest-well-performing-interval/
84. 柱状图中最大的矩形,https://leetcode.cn/problems/largest-rectangle-in-histogram/
1793. 好子数组的最大分数,https://leetcode.cn/problems/maximum-score-of-a-good-subarray/
85. 最大矩形,https://leetcode.cn/problems/maximal-rectangle/
1504. 统计全 1 子矩形,https://leetcode.cn/problems/count-submatrices-with-all-ones/
42. 接雨水,https://leetcode.cn/problems/trapping-rain-water/
755. 倒水,https://leetcode.cn/problems/pour-water/
907. 子数组的最小值之和,https://leetcode.cn/problems/sum-of-subarray-minimums/
2104. 子数组范围和（最大值-最小值）,https://leetcode.cn/problems/sum-of-subarray-ranges/
1856. 子数组最小乘积的最大值,https://leetcode.cn/problems/maximum-subarray-min-product/
2818. 操作使得分最大,https://leetcode.cn/problems/apply-operations-to-maximize-score/
2281. 巫师的总力量和（最小值×和）,https://leetcode.cn/problems/sum-of-total-strength-of-wizards/
3430. 最多 K 个元素的子数组的最值之和,https://leetcode.cn/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/
3359. 查找最大元素不超过 K 的有序子矩阵,https://leetcode.cn/problems/find-sorted-submatrices-with-maximum-element-at-most-k/
2334. 元素值大于变化阈值的子数组,https://leetcode.cn/problems/subarray-with-elements-greater-than-varying-threshold/
402. 移掉 K 位数字,https://leetcode.cn/problems/remove-k-digits/
1673. 找出最具竞争力的子序列,https://leetcode.cn/problems/find-the-most-competitive-subsequence/
316. 去除重复字母,https://leetcode.cn/problems/remove-duplicate-letters/
316 扩展：重复个数不超过 limit,https://leetcode.cn/contest/tianchi2022/problems/ev2bru/
1081. 不同字符的最小子序列,https://leetcode.cn/problems/smallest-subsequence-of-distinct-characters/
321. 拼接最大数,https://leetcode.cn/problems/create-maximum-number/
2030. 含特定字母的最小子序列,https://leetcode.cn/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/
