文字,超連結
1456. 定长子串中元音的最大数目,https://leetcode.cn/problems/maximum-number-of-vowels-in-a-substring-of-given-length/
643. 子数组最大平均数 I,https://leetcode.cn/problems/maximum-average-subarray-i/
1343. 大小为 K 且平均值大于等于阈值的子数组数目,https://leetcode.cn/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/
2090. 半径为 k 的子数组平均值,https://leetcode.cn/problems/k-radius-subarray-averages/
2379. 得到 K 个黑块的最少涂色次数,https://leetcode.cn/problems/minimum-recolors-to-get-k-consecutive-black-blocks/
2841. 几乎唯一子数组的最大和,https://leetcode.cn/problems/maximum-sum-of-almost-unique-subarray/
2461. 长度为 K 子数组中的最大和,https://leetcode.cn/problems/maximum-sum-of-distinct-subarrays-with-length-k/
1423. 可获得的最大点数,https://leetcode.cn/problems/maximum-points-you-can-obtain-from-cards/
1052. 爱生气的书店老板,https://leetcode.cn/problems/grumpy-bookstore-owner/
1652. 拆炸弹,https://leetcode.cn/problems/defuse-the-bomb/
1176. 健身计划评估,https://leetcode.cn/problems/diet-plan-performance/
1100. 长度为 K 的无重复字符子串,https://leetcode.cn/problems/find-k-length-substrings-with-no-repeated-characters/
1852. 每个子数组的数字种类数,https://leetcode.cn/problems/distinct-numbers-in-each-subarray/
1151. 最少交换次数来组合所有的 1,https://leetcode.cn/problems/minimum-swaps-to-group-all-1s-together/
2107. 分享 K 个糖果后独特口味的数量,https://leetcode.cn/problems/number-of-unique-flavors-after-sharing-k-candies/
3439. 重新安排会议得到最多空余时间 I,https://leetcode.cn/problems/reschedule-meetings-for-maximum-free-time-i/
2134. 最少交换次数来组合所有的 1 II,https://leetcode.cn/problems/minimum-swaps-to-group-all-1s-together-ii/
1297. 子串的最大出现次数,https://leetcode.cn/problems/maximum-number-of-occurrences-of-a-substring/
2653. 滑动子数组的美丽值,https://leetcode.cn/problems/sliding-subarray-beauty/
1888. 使二进制字符串字符交替的最少反转次数,https://leetcode.cn/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/
567. 字符串的排列,https://leetcode.cn/problems/permutation-in-string/
438. 找到字符串中所有字母异位词,https://leetcode.cn/problems/find-all-anagrams-in-a-string/
30. 串联所有单词的子串,https://leetcode.cn/problems/substring-with-concatenation-of-all-words/
2156. 查找给定哈希值的子串,https://leetcode.cn/problems/find-substring-with-given-hash-value/
2953. 统计完全子字符串,https://leetcode.cn/problems/count-complete-substrings/
1016. 子串能表示从 1 到 N 数字的二进制串,https://leetcode.cn/problems/binary-string-with-substrings-representing-1-to-n/
683. K 个关闭的灯泡,https://leetcode.cn/problems/k-empty-slots/
2067. 等计数子串的数量,https://leetcode.cn/problems/number-of-equal-count-substrings/
2524. 子数组的最大频率分数,https://leetcode.cn/problems/maximum-frequency-score-of-a-subarray/
2269. 找到一个数字的 K 美丽值,https://leetcode.cn/problems/find-the-k-beauty-of-a-number/
1984. 学生分数的最小差值,https://leetcode.cn/problems/minimum-difference-between-highest-and-lowest-of-k-scores/
1461. 检查一个字符串是否包含所有长度为 K 的二进制子串,https://leetcode.cn/problems/check-if-a-string-contains-all-binary-codes-of-size-k/
220. 存在重复元素 III,https://leetcode.cn/problems/contains-duplicate-iii/
3. 无重复字符的最长子串,https://leetcode.cn/problems/longest-substring-without-repeating-characters/
3090. 每个字符最多出现两次的最长子字符串,https://leetcode.cn/problems/maximum-length-substring-with-two-occurrences/
1493. 删掉一个元素以后全为 1 的最长子数组,https://leetcode.cn/problems/longest-subarray-of-1s-after-deleting-one-element/
1208. 尽可能使字符串相等,https://leetcode.cn/problems/get-equal-substrings-within-budget/
904. 水果成篮,https://leetcode.cn/problems/fruit-into-baskets/
1695. 删除子数组的最大得分,https://leetcode.cn/problems/maximum-erasure-value/
2958. 最多 K 个重复元素的最长子数组,https://leetcode.cn/problems/length-of-longest-subarray-with-at-most-k-frequency/
2024. 考试的最大困扰度,https://leetcode.cn/problems/maximize-the-confusion-of-an-exam/
1004. 最大连续 1 的个数 III,https://leetcode.cn/problems/max-consecutive-ones-iii/
1658. 将 x 减到 0 的最小操作数,https://leetcode.cn/problems/minimum-operations-to-reduce-x-to-zero/
2730. 找到最长的半重复子字符串,https://leetcode.cn/problems/find-the-longest-semi-repetitive-substring/
2779. 数组的最大美丽值,https://leetcode.cn/problems/maximum-beauty-of-an-array-after-applying-operation/
1838. 最高频元素的频数,https://leetcode.cn/problems/frequency-of-the-most-frequent-element/
2516. 每种字符至少取 K 个,https://leetcode.cn/problems/take-k-of-each-character-from-left-and-right/
2831. 找出最长等值子数组,https://leetcode.cn/problems/find-the-longest-equal-subarray/
2271. 毯子覆盖的最多白色砖块数,https://leetcode.cn/problems/maximum-white-tiles-covered-by-a-carpet/
2106. 摘水果,https://leetcode.cn/problems/maximum-fruits-harvested-after-at-most-k-steps/
