文字,超連結
28. 找出字符串中第一个匹配项的下标,https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string/
796. 旋转字符串,https://leetcode.cn/problems/rotate-string/
1392. 最长快乐前缀,https://leetcode.cn/problems/longest-happy-prefix/
3036. 匹配模式数组的子数组数目 II,https://leetcode.cn/problems/number-of-subarrays-that-match-a-pattern-ii/
1764. 通过连接另一个数组的子数组得到一个数组,https://leetcode.cn/problems/form-array-by-concatenating-subarrays-of-another-array/
1668. 最大重复子字符串,https://leetcode.cn/problems/maximum-repeating-substring/
459. 重复的子字符串,https://leetcode.cn/problems/repeated-substring-pattern/
3008. 找出数组中的美丽下标 II,https://leetcode.cn/problems/find-beautiful-indices-in-the-given-array-ii/
214. 最短回文串,https://leetcode.cn/problems/shortest-palindrome/
3529. 统计水平子串和垂直子串重叠格子的数目,https://leetcode.cn/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/
686. 重复叠加字符串匹配,https://leetcode.cn/problems/repeated-string-match/
3455. 最短匹配子字符串,https://leetcode.cn/problems/shortest-matching-substring/
1397. 找到所有好字符串,https://leetcode.cn/problems/find-all-good-strings/
3037. 在无限流中寻找模式 II,https://leetcode.cn/problems/find-pattern-in-infinite-stream-ii/
2223. 构造字符串的总得分和,https://leetcode.cn/problems/sum-of-scores-of-built-strings/
3031. 将单词恢复初始状态所需的最短时间 II,https://leetcode.cn/problems/minimum-time-to-revert-word-to-initial-state-ii/
3045. 统计前后缀下标对 II,https://leetcode.cn/problems/count-prefix-and-suffix-pairs-ii/
3303. 第一个几乎相等子字符串的下标,https://leetcode.cn/problems/find-the-occurrence-of-first-almost-equal-substring/
3292. 形成目标字符串需要的最少字符串数 II,https://leetcode.cn/problems/minimum-number-of-valid-strings-to-form-target-ii/
3474. 字典序最小的生成字符串,https://leetcode.cn/problems/lexicographically-smallest-generated-string/
2430. 对字母串可执行的最大删除数,https://leetcode.cn/problems/maximum-deletions-on-a-string/
3388. 统计数组中的美丽分割,https://leetcode.cn/problems/count-beautiful-splits-in-an-array/
1977. 划分数字的方案数,https://leetcode.cn/problems/number-of-ways-to-separate-numbers/
5. 最长回文子串,https://leetcode.cn/problems/longest-palindromic-substring/
647. 回文子串,https://leetcode.cn/problems/palindromic-substrings/
214. 最短回文串,https://leetcode.cn/problems/shortest-palindrome/
3327. 判断 DFS 字符串是否是回文串,https://leetcode.cn/problems/check-if-dfs-strings-are-palindromes/
1745. 分割回文串 IV,https://leetcode.cn/problems/palindrome-partitioning-iv/
1960. 两个回文子字符串长度的最大乘积,https://leetcode.cn/problems/maximum-product-of-the-length-of-two-palindromic-substrings/
3504. 子字符串连接后的最长回文串 II,https://leetcode.cn/problems/longest-palindrome-after-substring-concatenation-ii/
28. 找出字符串中第一个匹配项的下标,https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string/
187. 重复的 DNA 序列,https://leetcode.cn/problems/repeated-dna-sequences/
1316. 不同的循环子字符串,https://leetcode.cn/problems/distinct-echo-substrings/
1297. 子串的最大出现次数,https://leetcode.cn/problems/maximum-number-of-occurrences-of-a-substring/
2261. 含最多 K 个可整除元素的子数组,https://leetcode.cn/problems/k-divisible-elements-subarrays/
3213. 最小代价构造字符串,https://leetcode.cn/problems/construct-string-with-minimum-cost/
1367. 二叉树中的链表,https://leetcode.cn/problems/linked-list-in-binary-tree/
1044. 最长重复子串,https://leetcode.cn/problems/longest-duplicate-substring/
718. 最长重复子数组,https://leetcode.cn/problems/maximum-length-of-repeated-subarray/
1923. 最长公共子路径,https://leetcode.cn/problems/longest-common-subpath/
3292. 形成目标字符串需要的最少字符串数 II,https://leetcode.cn/problems/minimum-number-of-valid-strings-to-form-target-ii/
2168. 每个数字的频率都相同的独特子字符串的数量,https://leetcode.cn/problems/unique-substrings-with-equal-digit-frequency/
1554. 只有一个不同字符的字符串,https://leetcode.cn/problems/strings-differ-by-one-character/
1062. 最长重复子串,https://leetcode.cn/problems/longest-repeating-substring/
899. 有序队列,https://leetcode.cn/problems/orderly-queue/
1032. 字符流,https://leetcode.cn/problems/stream-of-characters/
面试题 17.17. 多次搜索,https://leetcode.cn/problems/multi-search-lcci/
1408. 数组中的字符串匹配,https://leetcode.cn/problems/string-matching-in-an-array/
3213. 最小代价构造字符串,https://leetcode.cn/problems/construct-string-with-minimum-cost/
3292. 形成目标字符串需要的最少字符串数 II,https://leetcode.cn/problems/minimum-number-of-valid-strings-to-form-target-ii/
1163. 按字典序排在最后的子串,https://leetcode.cn/problems/last-substring-in-lexicographical-order/
1754. 构造字典序最大的合并字符串,https://leetcode.cn/problems/largest-merge-of-two-strings/
